year_film,year_ceremony,film,budget,opening_gross,usa_gross,ww_gross,imdb,metacritic,rm_critics,rm_audience
2013,2014,Nebraska,12000000.00,140401.00,17654912.00,27682872.00,7.7,87,91,83
2013,2014,Omar,2100000.00,157000.00,356000.00,614444.00,7.5,75,90,84
2013,2014,Philomena,12000000.00,128435.00,37709979.00,100129872.00,7.6,77,91,89
2013,2014,Pitaako Mun Kaikki Hoitaa? (Do I Have to Take Care of Everything?),,,,,6.7,,,57
2013,2014,Possessions,,,,,6.8,,,56
2013,2014,Prison Terminal: The Last Days of Private Jack Hall,,,,,7.6,,,91
2013,2014,Prisoners,46000000.00,20817053.00,61002302.00,122126687.00,8.1,70,81,87
2013,2014,Room on the Broom,,,,23578.00,7.6,,,81
2013,2014,Saving Mr. Banks,35000000.00,413373.00,83301580.00,117867984.00,7.5,65,79,84
2013,2014,Star Trek Into Darkness,190000000.00,70165559.00,228778661.00,467365246.00,7.7,72,84,89
2013,2014,The Act of Killing,1000000.00,27450.00,486919.00,726324.00,8.2,91,95,85
2013,2014,The Book Thief,19000000.00,105005.00,21488481.00,76586316.00,7.6,53,48,73
2013,2014,The Broken Circle Breakdown,,7100.00,175058.00,5990754.00,7.7,70,83,85
2013,2014,The Croods,135000000.00,43639736.00,187168425.00,587205319.00,7.2,55,72,77
2013,2014,The Grandmaster,38600000.00,132617.00,6594959.00,73906736.00,6.6,73,78,59
2013,2014,The Great Beauty,11132000.00,23442.00,2852400.00,24665023.00,7.8,86,91,80
2013,2014,The Great Gatsby,105000000.00,50085185.00,144840419.00,353642274.00,7.2,55,48,67
2013,2014,The Hobbit: The Desolation of Smaug,225000000.00,73645197.00,258366855.00,958366855.00,7.8,66,74,85
2013,2014,The Hunt,14000000.00,5304455.00,5812500.00,11472187.00,6.5,50,57,66
2013,2014,The Invisible Woman,,31948.00,1234254.00,3986888.00,6.1,75,74,44
2013,2014,The Lady in Number 6: Music Saved My Life,,,,,8,,,86
2013,2014,The Lone Ranger,215000000.00,29210849.00,89302115.00,260502115.00,6.4,37,30,51
2013,2014,The Missing Picture,,10148.00,52164.00,78097.00,7.4,87,99,76
2013,2014,The Square,1500000.00,16359.00,124244.00,124244.00,8.1,84,100,90
2013,2014,The Voorman Problem,,,,,7.2,,,84
2013,2014,The Wind Rises,30000000.00,313751.00,5209580.00,136533257.00,7.8,83,88,85
2013,2014,The Wolf of Wall Street,100000000.00,18361578.00,116900694.00,392000694.00,8.2,75,79,83
2014,2015,A Single Life,,,,,7.3,,,83
2014,2015,American Sniper,58800000.00,633456.00,350126372.00,547426372.00,7.3,72,72,84
2014,2015,Aya,,,,,7.2,,,79
2014,2015,Begin Again,8000000.00,134064.00,16170632.00,65652908.00,7.4,64,83,81
2014,2015,Beyond the Lights,7000000.00,6200284.00,14618727.00,14618727.00,6.9,73,83,75
2014,2015,Big Hero 6,165000000.00,56215889.00,222527828.00,657869686.00,7.8,74,89,91
2014,2015,Birdman or (The Unexpected Virtue of Ignorance),18000000.00,424397.00,42340598.00,103215094.00,7.7,87,91,77
2014,2015,Boogaloo and Graham,,,,,,,,
2014,2015,Boyhood,4000000.00,387618.00,25352281.00,48137666.00,7.9,100,97,80
2014,2015,Butter Lamp (La Lampe Au Beurre De Yak),,,,,7.1,,,
2014,2015,Captain America: The Winter Soldier,170000000.00,95023721.00,259766572.00,714421503.00,7.7,70,90,92
2014,2015,CitizenFour,,126321.00,2800870.00,3780692.00,8,88,96,87
2014,2015,Crisis Hotline: Veterans Press 1,,,,,7.4,,,83
2014,2015,Dawn of the Planet of the Apes,170000000.00,72611427.00,208545589.00,710644566.00,7.6,79,90,88
2014,2015,Feast,,,,,8.2,,,
2014,2015,Finding Vivian Maier,,63600.00,1514782.00,2385956.00,7.7,75,95,89
2014,2015,Foxcatcher,24000000.00,270877.00,12096300.00,19206513.00,7,81,87,66
